STATBL_ID,DTACYCLE_CD,WRTTIME_IDTFR_ID,GRP_ID,GRP_NM,CLS_ID,CLS_NM,ITM_ID,ITM_NM,DTA_VAL,UI_NM,GRP_FULLNM,CLS_FULLNM,ITM_FULLNM,WRTTIME_DESC,STATBL_NM
A_2024_00200,HY,202202,,,500001,전체주택,100001,주택수,83512.0,동(호)수,,전체주택,주택수,2022년 하반기,외국인주택소유현황(총괄)
A_2024_00200,HY,202202,,,500002,공동주택,100001,주택수,75959.0,동(호)수,,공동주택,주택수,2022년 하반기,외국인주택소유현황(총괄)
A_2024_00200,HY,202202,,,500003,단독주택,100001,주택수,7553.0,동(호)수,,단독주택,주택수,2022년 하반기,외국인주택소유현황(총괄)
A_2024_00200,HY,202202,,,500001,전체주택,100002,(지분반영주택수),75765.0,동(호)수,,전체주택,(지분반영주택수),2022년 하반기,외국인주택소유현황(총괄)
A_2024_00200,HY,202202,,,500002,공동주택,100002,(지분반영주택수),69458.0,동(호)수,,공동주택,(지분반영주택수),2022년 하반기,외국인주택소유현황(총괄)
A_2024_00200,HY,202202,,,500003,단독주택,100002,(지분반영주택수),6308.0,동(호)수,,단독주택,(지분반영주택수),2022년 하반기,외국인주택소유현황(총괄)
A_2024_00200,HY,202202,,,500001,전체주택,100003,소유자수,81626.0,명,,전체주택,소유자수,2022년 하반기,외국인주택소유현황(총괄)
A_2024_00200,HY,202202,,,500002,공동주택,100003,소유자수,74846.0,명,,공동주택,소유자수,2022년 하반기,외국인주택소유현황(총괄)
A_2024_00200,HY,202202,,,500003,단독주택,100003,소유자수,7678.0,명,,단독주택,소유자수,2022년 하반기,외국인주택소유현황(총괄)
A_2024_00200,HY,202202,,,500001,전체주택,100004,1인당 평균소유주택수,1.02,동(호)수,,전체주택,1인당 평균소유주택수,2022년 하반기,외국인주택소유현황(총괄)
A_2024_00200,HY,202202,,,500002,공동주택,100004,1인당 평균소유주택수,1.01,동(호)수,,공동주택,1인당 평균소유주택수,2022년 하반기,외국인주택소유현황(총괄)
A_2024_00200,HY,202202,,,500003,단독주택,100004,1인당 평균소유주택수,0.98,동(호)수,,단독주택,1인당 평균소유주택수,2022년 하반기,외국인주택소유현황(총괄)
A_2024_00200,HY,202202,,,500001,전체주택,100005,(지분반영 1인당 평균소유주택수),0.93,동(호)수,,전체주택,(지분반영 1인당 평균소유주택수),2022년 하반기,외국인주택소유현황(총괄)
A_2024_00200,HY,202202,,,500002,공동주택,100005,(지분반영 1인당 평균소유주택수),0.93,동(호)수,,공동주택,(지분반영 1인당 평균소유주택수),2022년 하반기,외국인주택소유현황(총괄)
A_2024_00200,HY,202202,,,500003,단독주택,100005,(지분반영 1인당 평균소유주택수),0.82,동(호)수,,단독주택,(지분반영 1인당 평균소유주택수),2022년 하반기,외국인주택소유현황(총괄)
A_2024_00200,HY,202301,,,500001,전체주택,100001,주택수,87223.0,동(호)수,,전체주택,주택수,2023년 상반기,외국인주택소유현황(총괄)
A_2024_00200,HY,202301,,,500002,공동주택,100001,주택수,79361.0,동(호)수,,공동주택,주택수,2023년 상반기,외국인주택소유현황(총괄)
A_2024_00200,HY,202301,,,500003,단독주택,100001,주택수,7862.0,동(호)수,,단독주택,주택수,2023년 상반기,외국인주택소유현황(총괄)
A_2024_00200,HY,202301,,,500001,전체주택,100002,(지분반영주택수),79133.0,동(호)수,,전체주택,(지분반영주택수),2023년 상반기,외국인주택소유현황(총괄)
A_2024_00200,HY,202301,,,500002,공동주택,100002,(지분반영주택수),72582.0,동(호)수,,공동주택,(지분반영주택수),2023년 상반기,외국인주택소유현황(총괄)
A_2024_00200,HY,202301,,,500003,단독주택,100002,(지분반영주택수),6551.0,동(호)수,,단독주택,(지분반영주택수),2023년 상반기,외국인주택소유현황(총괄)
A_2024_00200,HY,202301,,,500001,전체주택,100003,소유자수,85358.0,명,,전체주택,소유자수,2023년 상반기,외국인주택소유현황(총괄)
A_2024_00200,HY,202301,,,500002,공동주택,100003,소유자수,78315.0,명,,공동주택,소유자수,2023년 상반기,외국인주택소유현황(총괄)
A_2024_00200,HY,202301,,,500003,단독주택,100003,소유자수,7993.0,명,,단독주택,소유자수,2023년 상반기,외국인주택소유현황(총괄)
A_2024_00200,HY,202301,,,500001,전체주택,100004,1인당 평균소유주택수,1.02,동(호)수,,전체주택,1인당 평균소유주택수,2023년 상반기,외국인주택소유현황(총괄)
A_2024_00200,HY,202301,,,500002,공동주택,100004,1인당 평균소유주택수,1.01,동(호)수,,공동주택,1인당 평균소유주택수,2023년 상반기,외국인주택소유현황(총괄)
A_2024_00200,HY,202301,,,500003,단독주택,100004,1인당 평균소유주택수,0.98,동(호)수,,단독주택,1인당 평균소유주택수,2023년 상반기,외국인주택소유현황(총괄)
A_2024_00200,HY,202301,,,500001,전체주택,100005,(지분반영 1인당 평균소유주택수),0.93,동(호)수,,전체주택,(지분반영 1인당 평균소유주택수),2023년 상반기,외국인주택소유현황(총괄)
A_2024_00200,HY,202301,,,500002,공동주택,100005,(지분반영 1인당 평균소유주택수),0.93,동(호)수,,공동주택,(지분반영 1인당 평균소유주택수),2023년 상반기,외국인주택소유현황(총괄)
A_2024_00200,HY,202301,,,500003,단독주택,100005,(지분반영 1인당 평균소유주택수),0.82,동(호)수,,단독주택,(지분반영 1인당 평균소유주택수),2023년 상반기,외국인주택소유현황(총괄)
A_2024_00200,HY,202302,,,500001,전체주택,100001,주택수,91453.0,동(호)수,,전체주택,주택수,2023년 하반기,외국인주택소유현황(총괄)
A_2024_00200,HY,202302,,,500002,공동주택,100001,주택수,83313.0,동(호)수,,공동주택,주택수,2023년 하반기,외국인주택소유현황(총괄)
A_2024_00200,HY,202302,,,500003,단독주택,100001,주택수,8140.0,동(호)수,,단독주택,주택수,2023년 하반기,외국인주택소유현황(총괄)
A_2024_00200,HY,202302,,,500001,전체주택,100002,(지분반영주택수),83013.0,동(호)수,,전체주택,(지분반영주택수),2023년 하반기,외국인주택소유현황(총괄)
A_2024_00200,HY,202302,,,500002,공동주택,100002,(지분반영주택수),76242.0,동(호)수,,공동주택,(지분반영주택수),2023년 하반기,외국인주택소유현황(총괄)
A_2024_00200,HY,202302,,,500003,단독주택,100002,(지분반영주택수),6771.0,동(호)수,,단독주택,(지분반영주택수),2023년 하반기,외국인주택소유현황(총괄)
A_2024_00200,HY,202302,,,500001,전체주택,100003,소유자수,89784.0,명,,전체주택,소유자수,2023년 하반기,외국인주택소유현황(총괄)
A_2024_00200,HY,202302,,,500002,공동주택,100003,소유자수,82503.0,명,,공동주택,소유자수,2023년 하반기,외국인주택소유현황(총괄)
A_2024_00200,HY,202302,,,500003,단독주택,100003,소유자수,8284.0,명,,단독주택,소유자수,2023년 하반기,외국인주택소유현황(총괄)
A_2024_00200,HY,202302,,,500001,전체주택,100004,1인당 평균소유주택수,1.02,동(호)수,,전체주택,1인당 평균소유주택수,2023년 하반기,외국인주택소유현황(총괄)
A_2024_00200,HY,202302,,,500002,공동주택,100004,1인당 평균소유주택수,1.01,동(호)수,,공동주택,1인당 평균소유주택수,2023년 하반기,외국인주택소유현황(총괄)
A_2024_00200,HY,202302,,,500003,단독주택,100004,1인당 평균소유주택수,0.98,동(호)수,,단독주택,1인당 평균소유주택수,2023년 하반기,외국인주택소유현황(총괄)
A_2024_00200,HY,202302,,,500001,전체주택,100005,(지분반영 1인당 평균소유주택수),0.92,동(호)수,,전체주택,(지분반영 1인당 평균소유주택수),2023년 하반기,외국인주택소유현황(총괄)
A_2024_00200,HY,202302,,,500002,공동주택,100005,(지분반영 1인당 평균소유주택수),0.92,동(호)수,,공동주택,(지분반영 1인당 평균소유주택수),2023년 하반기,외국인주택소유현황(총괄)
